tokens,types,log_tokens,log_types
107000,32980,11.580584113444043,10.40365659611359
108000,33231,11.589886506106357,10.411238454185042
109000,33500,11.59910316121128,10.419300717813158
110000,33743,11.608235644774552,10.426528267381377
111000,33921,11.617285480294472,10.431789570603355
112000,34179,11.626254150277232,10.439366699366225
113000,34444,11.635143097694478,10.447090095816057
114000,34723,11.643953727376633,10.455157570571497
115000,35002,11.652687407345388,10.463160481696102
116000,35276,11.661345470088502,10.470958125008071
117000,35599,11.669929213779893,10.480072826557953
118000,35939,11.678439903447801,10.489578335799088
119000,36256,11.686878772093667,10.498360163827734
120000,36566,11.695247021764184,10.50687412588845
121000,36853,11.703545824578878,10.514692305429964
122000,37157,11.711776323715394,10.522907457698913
123000,37441,11.719939634354555,10.530521639636548
124000,37736,11.728036844587175,10.538369824964098
125000,38018,11.736069016284437,10.545815010766098
126000,38294,11.744037185933616,10.55304850493315
127000,38579,11.751942365440728,10.560463365957897
128000,38865,11.759785542901755,10.56784938166432
129000,39132,11.76756768334381,10.574695825577319
130000,39430,11.77528972943772,10.582282226871673
131000,39692,11.782952602183288,10.588904935034131
132000,39979,11.790557201568507,10.59610959523532
133000,40194,11.79810440720389,10.601473009736322
134000,40421,11.805595078933049,10.607104730879188
135000,40662,11.813030057420567,10.613049274364167
136000,40877,11.820410164718188,10.618322836666145
137000,41077,11.827736204810263,10.623203633138218
138000,41294,11.835008964139341,10.628472489944825
139000,41561,11.842229212112828,10.634917506521377
140000,41770,11.84939770159144,10.639933657491222
141000,41993,11.856515169360305,10.645258216708406
141008,41998,11.856571905339441,10.645377277084064
