tokens,types,log_tokens,log_types
52000,22079,10.858998997563564,10.002382209510342
53000,22394,10.87804719253426,10.016548344820142
54000,22867,10.896739325546411,10.037450102199095
55000,23309,10.915088464214607,10.05659483106667
56000,23715,10.933106969717286,10.073863038311682
57000,24125,10.950806546816688,10.091003926207186
58000,24498,10.968198289528557,10.10634676054763
59000,24977,10.985292722887856,10.125710680390595
60000,25332,11.002099841204238,10.13982369763632
61000,25517,11.018629143155449,10.147100175689678
62000,25900,11.03488966402723,10.16199824768763
63000,26289,11.05089000537367,10.17690587972396
64000,26693,11.06663836234181,10.192156637730536
65000,27054,11.082142548877775,10.20559014764914
66000,27477,11.097410021008562,10.221104570071097
67000,27865,11.112447898373103,10.235126700003637
68000,28253,11.127262984158243,10.248954925626595
69000,28670,11.141861783579396,10.263606558877415
70000,29062,11.156250521031495,10.27718675788064
71000,29410,11.170435156023453,10.28909003154804
72000,29870,11.184421397998193,10.304609911210155
73000,30322,11.198214720130528,10.319628800641526
74000,30707,11.211820372186306,10.332245920613584
75000,31070,11.225243392518447,10.343998002387092
76000,31394,11.238488619268468,10.354372070835153
77000,31736,11.251560700835821,10.365206962194167
78000,32056,11.26446410567173,10.375239652315981
79000,32315,11.27720313144916,10.383286797696996
80000,32665,11.289781913656018,10.39405944727485
81000,32949,11.302204433654575,10.402716190456456
82000,33241,11.314474526246391,10.411539332752723
83000,33601,11.326595886778735,10.422311107413181
84000,34045,11.33857207782545,10.435438457917067
85000,34473,11.350406535472453,10.447931687925744
86000,34897,11.362102575235644,10.46015614461037
87000,35305,11.37366339763672,10.471779875950448
88000,35636,11.385092093460344,10.481111641840535
89000,35962,11.396391648714276,10.490218104391584
90000,36366,11.407564949312402,10.50138955117934
91000,36696,11.418614785498987,10.510423036277007
92000,37046,11.429543856031177,10.519915662682669
93000,37399,11.440354772135393,10.529399245077244
94000,37754,11.451050061252142,10.538846709328679
95000,38080,11.461632170582678,10.5474444889053
96000,38407,11.472103470449973,10.555995013629378
97000,38730,11.48246625748552,10.564369772508797
98000,39039,11.49272275765271,10.572316425444868
99000,39321,11.502875129116727,10.579514006287654
100000,39621,11.512925464970229,10.587114559711914
101000,39993,11.522875795823397,10.596459717781787
102000,40340,11.532728092266408,10.605098811508203
103000,40597,11.542484267211773,10.611449451234087
104000,40949,11.55214617812351,10.620082668958622
105000,41290,11.56171562913966,10.628375618880137
106000,41649,11.571194373094205,10.637032637702912
107000,41985,11.580584113444043,10.645067690617664
108000,42327,11.589886506106357,10.653180459281268
109000,42724,11.59910316121128,10.662516102209587
110000,43131,11.608235644774552,10.671997275090702
111000,43494,11.617285480294472,10.680378276528932
112000,43837,11.626254150277232,10.688233488623478
113000,44174,11.635143097694478,10.695891659693414
114000,44522,11.643953727376633,10.703738728010274
115000,44882,11.652687407345388,10.711792102483521
116000,45214,11.661345470088502,10.719162052375765
117000,45508,11.669929213779893,10.725643413659608
118000,45813,11.678439903447801,10.73232317262129
119000,46177,11.686878772093667,10.74023711761076
120000,46505,11.695247021764184,10.747315112676567
121000,46765,11.703545824578878,10.752890338868651
122000,47047,11.711776323715394,10.75890238102528
123000,47348,11.719939634354555,10.765279859073784
124000,47665,11.728036844587175,10.771952654927679
125000,47944,11.736069016284437,10.777788942138022
126000,48224,11.744037185933616,10.783612101426222
127000,48538,11.751942365440728,10.790102275300281
128000,48809,11.759785542901755,10.79567000106632
129000,49060,11.76756768334381,10.80079931781248
130000,49324,11.77528972943772,10.80616605699042
131000,49640,11.782952602183288,10.812552239318544
132000,49928,11.790557201568507,10.81833724661388
132975,50232,11.797916419610518,10.824407552793945
