token_id,token,corpus_frequency
832,surət,31
833,tapdı,31
834,xəndan,31
835,yarım,31
836,zövqi,31
837,zərrə,31
838,ən,31
839,ad,30
840,aç,30
841,bilər,30
842,bunca,30
843,bunun,30
844,bəyin,30
845,demə,30
846,dönüb,30
847,dövr,30
848,dərdimə,30
849,edim,30
850,fani,30
851,fəğan,30
852,gedər,30
853,göyçəyə,30
854,gənci,30
855,gərəkməz,30
856,gəz,30
857,həqq,30
858,işim,30
859,kağız,30
860,mümkün,30
861,nərgisi,30
862,oduna,30
863,pərvanə,30
864,qabağına,30
865,qana,30
866,qanlı,30
867,qaşı,30
868,torpağa,30
869,xuda,30
870,yarəb,30
871,yeddi,30
872,ölüm,30
873,üzündən,30
874,şahın,30
875,şər,30
876,еylədi,30
877,asiman,29
878,dalınca,29
879,demək,29
880,dilim,29
881,dünyaya,29
882,guya,29
883,görəsən,29
884,göyçə,29
885,hüsnünə,29
886,köpək,29
887,kəbə,29
888,məclisdə,29
889,oxu,29
890,qoyun,29
891,qədəm,29
892,sayə,29
893,səcdə,29
894,toya,29
895,tən,29
896,varmı,29
897,vəsli,29
898,xəlqə,29
899,yaş,29
900,adım,28
901,aparır,28
902,axı,28
903,açılsın,28
904,aşiqin,28
905,bağlı,28
906,başın,28
907,bilən,28
908,bizdən,28
909,dilər,28
910,dodağın,28
911,eylədin,28
912,görsə,28
913,gözünü,28
914,gülüstan,28
915,gəh,28
916,gəlmədi,28
917,h,28
918,hacı,28
919,hara,28
920,huri,28
921,hərgiz,28
922,hərə,28
923,həsrətindən,28
924,ilǝ,28
925,kimdir,28
926,könlü,28
927,kəsdi,28
928,nǝ,28
929,qalan,28
930,qılmış,28
931,qılıb,28
932,qəmin,28
933,razı,28
934,salmış,28
935,sirr,28
936,sual,28
937,sədəf,28
938,tamaşa,28
939,türfə,28
940,ustad,28
941,yaraşır,28
942,yoldan,28
943,zəhmət,28
944,çak,28
945,çatanda,28
946,ənbər,28
947,еşitdi,28
948,adəm,27
949,birini,27
950,boyun,27
951,bədən,27
952,bəsdir,27
953,dolu,27
954,dosta,27
955,düşəndə,27
956,dəstə,27
957,dеyim,27
958,etmədi,27
959,etməyə,27
960,eşqində,27
961,fəzli,27
962,göndərdi,27
963,güldü,27
964,halın,27
965,hazır,27
966,kimdən,27
967,kimidi,27
968,kəndin,27
969,meyi,27
970,müşkünaz,27
971,məhv,27
972,nağıya,27
973,olasan,27
974,onları,27
975,pis,27
976,qanda,27
977,qərar,27
978,saf,27
979,sübhü,27
980,səhnəbanı,27
981,sərbəsər,27
982,səsi,27
983,təki,27
984,uzaq,27
985,uşaq,27
986,yolun,27
987,yusifi,27
988,zəmanə,27
989,çoxdur,27
990,ürəyim,27
991,şahı,27
992,еləyib,27
993,acı,26
994,aman,26
995,asan,26
996,atdı,26
997,bilsin,26
998,buldu,26
999,bəndi,26
1000,cani,26
1001,danışma,26
1002,dedin,26
1003,didar,26
1004,dəhr,26
1005,dəmbədəm,26
1006,dərs,26
1007,eyləsin,26
1008,feyzi,26
1009,giryan,26
1010,göydə,26
1011,göyçənin,26
1012,göyə,26
1013,gеcə,26
1014,hüsni,26
1015,istədi,26
1016,kuyində,26
1017,könlümə,26
1018,mö,26
1019,mǝn,26
1020,məhi,26
1021,nadan,26
1022,naz,26
1023,oda,26
1024,qamu,26
1025,qar,26
1026,qədəh,26
1027,qətrə,26
1028,rəva,26
1029,saqın,26
1030,sinəsinə,26
1031,sor,26
1032,söylədi,26
1033,tüfəng,26
1034,tə,26
1035,tələb,26
1036,xak,26
1037,xali,26
1038,xоş,26
1039,yandan,26
1040,zülfünə,26
1041,zərrəcə,26
1042,çeşmim,26
1043,özündən,26
1044,ünsüri,26
1045,şeytan,26
1046,əzəl,26
1047,еvə,26
1048,ahu,25
1049,arzular,25
1050,as,25
1051,baxma,25
1052,canıma,25
1053,dala,25
1054,der,25
1055,dün,25
1056,dünyadan,25
1057,dən,25
1058,dərdimi,25
1059,görcək,25
1060,gövhəri,25
1061,gülü,25
1062,gülün,25
1063,gəldilər,25
1064,hardasan,25
1065,hicr,25
1066,hüsn,25
1067,həqqi,25
1068,inci,25
1069,mindi,25
1070,mütləq,25
1071,məclisə,25
1072,məhşər,25
1073,neçün,25
1074,olmaram,25
1075,olsan,25
1076,olubdu,25
1077,olum,25
1078,qohum,25
1079,qılan,25
1080,rəng,25
1081,salma,25
1082,seyyid,25
1083,sərasər,25
1084,tapar,25
1085,tərlan,25
1086,vəslinə,25
1087,xəbərin,25
1088,xəlqi,25
1089,ədalət,25
1090,əşki,25
1091,afərin,24
1092,ata,24
1093,atdan,24
1094,atı,24
1095,ayağı,24
1096,baği,24
1097,bağrımı,24
1098,bildim,24
1099,canlar,24
1100,cövhəri,24
1101,dastan,24
1102,dildən,24
1103,düşdülər,24
1104,dəf,24
1105,dəva,24
1106,fəhm,24
1107,fələyin,24
1108,gözə,24
1109,güman,24
1110,günün,24
1111,gətirib,24
1112,halə,24
1113,hayıf,24
1114,hicrin,24
1115,isən,24
1116,işlər,24
1117,könlünü,24
1118,kəndində,24
1119,malı,24
1120,meyl,24
1121,mikayıl,24
1122,məhəbbət,24
1123,natəvan,24
1124,ney,24
1125,nökər,24
1126,növ,24
1127,olacaq,24
1128,olsaydı,24
1129,oxşar,24
1130,pay,24
1131,peyda,24
1132,qabaq,24
1133,qaldım,24
1134,qarşı,24
1135,qiyamət,24
1136,quran,24
1137,qədrini,24
1138,qəlbim,24
1139,rast,24
1140,ruhi,24
1141,seyri,24
1142,suyu,24
1143,sözə,24
1144,tufan,24
1145,təbib,24
1146,xumar,24
1147,xəta,24
1148,yari,24
1149,çəkir,24
1150,öküz,24
1151,ömrüm,24
1152,ömür,24
1153,üzüm,24
1154,şux,24
1155,şükür,24
1156,əlini,24
1157,əlinə,24
1158,əlvan,24
1159,aqil,23
1160,aslan,23
1161,ağzı,23
1162,bihudə,23
1163,bivəfa,23
1164,bülbüli,23
1165,canın,23
1166,cüda,23
1167,deyər,23
1168,durdu,23
1169,dеyin,23
1170,elm,23
1171,evdə,23
1172,fərman,23
1173,görməmişəm,23
1174,gözlərim,23
1175,güllər,23
1176,günə,23
1177,gəda,23
1178,hatəm,23
1179,hünər,23
1180,hеsab,23
1181,ilan,23
1182,kar,23
1183,keç,23
1184,köhnə,23
1185,kövsər,23
1186,kəndə,23
1187,manat,23
1188,mətləb,23
