row_id,bir,ki,bu,nə,aşıq,ey,hər,ilə,kim,mən,o,i,də,ol,ələsgər,kimi,sən,var,oldu,da,çox,mənim,məni,gün,dedi,can,tək,idi,mənə,olur
66,0,2,2,0,0,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
67,3,4,0,1,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
68,3,1,1,0,0,8,1,1,3,0,0,0,0,0,0,0,1,4,0,0,1,1,1,0,0,0,0,0,1,1
69,2,1,0,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
70,1,2,5,0,0,5,0,4,0,0,0,0,0,3,0,0,0,1,0,0,0,8,0,2,0,0,1,0,0,0
71,0,3,2,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
72,2,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
73,1,1,2,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,1,0,1,2,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1
75,2,1,9,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
76,1,3,1,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,5,1,0,0,0,1,0,0,3,0,0,0,0,3,0,0,0,0,2,0,0,0,0,2,0,0,1,1,1,0
78,3,0,1,0,0,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,1,0,0,0,0,4,3,1,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
81,2,0,1,1,0,1,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
82,3,1,0,1,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,1,0,0,0
83,1,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
84,1,0,1,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
85,1,1,2,0,0,2,1,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
86,1,0,1,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0
87,0,0,1,0,0,2,2,0,5,1,0,2,0,0,0,0,1,0,0,0,0,0,9,0,0,0,1,0,1,1
88,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0
89,2,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
90,2,0,0,0,0,1,2,0,2,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,4,0,0,1,0,3,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
93,3,1,0,0,0,2,0,0,2,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
94,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,1,3,0,0,1,1,1,0,0,0,0,0,1,1
95,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
96,0,0,2,1,0,0,0,4,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
97,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
98,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
99,0,0,3,0,0,4,0,4,0,1,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
100,3,3,2,3,0,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,1,1,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
103,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
104,3,1,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,3,0,0,0
105,1,3,0,2,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
106,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
107,0,2,1,1,0,0,0,1,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
108,23,21,25,5,0,15,19,7,9,29,24,6,17,0,0,9,10,7,1,14,2,14,21,0,12,0,0,1,18,0
109,0,0,0,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
110,0,1,0,0,0,0,0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
111,1,1,0,0,0,1,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,2,2,1,0,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
113,0,3,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
114,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0
115,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
116,1,1,2,3,0,3,0,0,1,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
117,1,2,1,0,0,3,2,0,3,0,0,0,0,1,0,1,0,9,0,0,1,1,1,0,0,0,1,0,0,1
118,0,2,3,4,0,0,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
119,8,3,3,5,0,2,1,7,6,2,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,7,1
120,1,1,2,0,0,0,1,2,2,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
121,1,0,1,1,0,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
122,1,0,1,1,0,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
123,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
124,1,0,0,1,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
125,3,1,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0
