term_id,token,term_frequency,document_frequency
682,ahü,36,32
683,azad,36,30
684,bağrım,36,31
685,deyə,36,28
686,deyən,36,33
687,ehsan,36,32
688,eyləyən,36,27
689,fikri,36,35
690,gecələr,36,26
691,gedib,36,23
692,gövhər,36,30
693,könlümün,36,32
694,oxudu,36,12
695,pak,36,29
696,qoyma,36,32
697,qönçə,36,34
698,vaxtı,36,20
699,vermə,36,28
700,yada,36,29
701,yaz,36,26
702,yolda,36,31
703,çıxıb,36,30
704,еylə,36,27
705,ayaq,35,27
706,açıldı,35,23
707,bala,35,18
708,bağ,35,27
709,dar,35,31
710,derlər,35,17
711,gözlərin,35,29
712,həmdəm,35,31
713,nar,35,28
714,oldur,35,26
715,qılma,35,34
716,qərq,35,29
717,rəngi,35,30
718,siyah,35,31
719,sözləri,35,22
720,süleyman,35,29
721,uş,35,24
722,xəyal,35,29
723,çıxartdı,35,11
724,üzündə,35,32
725,ələsgərgil,35,10
726,allaha,34,22
727,arasında,34,15
728,aya,34,26
729,badi,34,30
730,bal,34,25
731,birinə,34,24
732,budu,34,27
733,bəzmi,34,29
734,dərdinə,34,30
735,dеyir,34,15
736,eşqi,34,31
737,görmüşəm,34,18
738,gözümdən,34,28
739,hənuz,34,13
740,kişinin,34,12
741,lalə,34,32
742,musa,34,29
743,oldun,34,25
744,olmasın,34,19
745,qoymaz,34,29
746,qızı,34,11
747,çü,34,30
748,özüm,34,25
749,şam,34,24
750,əhlinə,34,29
751,əşi,34,9
752,arvad,33,13
753,ağır,33,24
754,bərabər,33,24
755,eyləmiş,33,21
756,gözləri,33,27
757,hali,33,31
758,hesab,33,22
759,kеçdi,33,14
760,nazik,33,19
761,nişan,33,26
762,olmuşdur,33,21
763,onların,33,22
764,sirrini,33,30
765,sərv,33,31
766,tazə,33,28
767,verə,33,29
768,verən,33,27
769,xeyli,33,28
770,yarə,33,28
771,yolu,33,27
772,çəkmə,33,30
773,əldən,33,31
774,əşk,33,31
775,adlı,32,11
776,ağlar,32,21
777,aşikar,32,29
778,başdan,32,29
779,bilmirəm,32,22
780,cahanı,32,27
781,dağı,32,17
782,deyiləm,32,16
783,din,32,29
784,dərdin,32,27
785,etməz,32,25
786,gözdən,32,28
787,hey,32,20
788,hörmət,32,25
789,kimə,32,25
790,kömək,32,22
791,lakin,32,22
792,li,32,30
793,onlara,32,25
794,pulu,32,9
795,qardaş,32,22
796,qayıtdı,32,11
797,qaşların,32,26
798,qıj,32,2
799,söyün,32,2
800,sözüm,32,26
801,vey,32,10
802,yaradan,32,21
803,yerdən,32,30
804,yəni,32,29
805,yеrə,32,12
806,zövq,32,26
807,çərxi,32,29
808,əlbəttə,32,32
809,əldə,32,28
810,əmə,32,4
811,əql,32,27
812,adın,31,27
813,ayağa,31,22
814,baxdı,31,16
815,birdən,31,19
816,bunlar,31,15
817,dövləti,31,25
818,dövri,31,26
819,dərya,31,27
820,etdin,31,22
821,gərəkdir,31,19
822,kor,31,29
823,külli,31,22
824,kəm,31,29
825,kəsildi,31,13
826,layiq,31,31
827,lazım,31,22
828,necin,31,2
829,olduğun,31,17
830,qalıb,31,22
831,qanı,31,29
832,surət,31,30
833,tapdı,31,27
834,xəndan,31,27
835,yarım,31,28
836,zövqi,31,29
837,zərrə,31,24
838,ən,31,20
839,ad,30,26
840,aç,30,29
841,bilər,30,18
842,bunca,30,27
843,bunun,30,22
844,bəyin,30,12
845,demə,30,26
846,dönüb,30,23
847,dövr,30,26
848,dərdimə,30,28
849,edim,30,23
850,fani,30,24
851,fəğan,30,29
852,gedər,30,26
853,göyçəyə,30,11
854,gənci,30,26
855,gərəkməz,30,7
856,gəz,30,22
857,həqq,30,23
858,işim,30,26
859,kağız,30,10
860,mümkün,30,25
861,nərgisi,30,28
862,oduna,30,28
863,pərvanə,30,25
864,qabağına,30,14
865,qana,30,25
866,qanlı,30,24
867,qaşı,30,26
868,torpağa,30,22
869,xuda,30,28
870,yarəb,30,26
871,yeddi,30,23
872,ölüm,30,21
873,üzündən,30,26
874,şahın,30,17
875,şər,30,27
876,еylədi,30,18
877,asiman,29,22
878,dalınca,29,12
879,demək,29,20
880,dilim,29,26
881,dünyaya,29,24
882,guya,29,28
883,görəsən,29,17
884,göyçə,29,18
885,hüsnünə,29,26
886,köpək,29,8
887,kəbə,29,20
888,məclisdə,29,19
889,oxu,29,18
890,qoyun,29,19
891,qədəm,29,28
892,sayə,29,28
893,səcdə,29,25
894,toya,29,8
895,tən,29,25
896,varmı,29,11
897,vəsli,29,20
898,xəlqə,29,26
899,yaş,29,25
900,adım,28,24
901,aparır,28,8
902,axı,28,14
903,açılsın,28,15
904,aşiqin,28,25
905,bağlı,28,20
906,başın,28,25
907,bilən,28,25
908,bizdən,28,24
909,dilər,28,25
910,dodağın,28,25
911,eylədin,28,16
912,görsə,28,25
913,gözünü,28,22
914,gülüstan,28,25
915,gəh,28,16
916,gəlmədi,28,12
917,h,28,5
918,hacı,28,10
919,hara,28,14
920,huri,28,24
921,hərgiz,28,23
922,hərə,28,17
923,həsrətindən,28,24
924,ilǝ,28,20
925,kimdir,28,24
926,könlü,28,25
927,kəsdi,28,22
928,nǝ,28,22
929,qalan,28,23
930,qılmış,28,24
931,qılıb,28,26
932,qəmin,28,26
933,razı,28,17
934,salmış,28,27
935,sirr,28,24
936,sual,28,24
937,sədəf,28,22
938,tamaşa,28,19
939,türfə,28,26
940,ustad,28,24
941,yaraşır,28,20
942,yoldan,28,21
943,zəhmət,28,23
944,çak,28,21
945,çatanda,28,15
946,ənbər,28,26
947,еşitdi,28,7
948,adəm,27,26
949,birini,27,14
950,boyun,27,26
951,bədən,27,21
952,bəsdir,27,17
953,dolu,27,24
954,dosta,27,23
955,düşəndə,27,21
956,dəstə,27,14
957,dеyim,27,15
958,etmədi,27,18
959,etməyə,27,22
960,eşqində,27,23
961,fəzli,27,22
962,göndərdi,27,16
963,güldü,27,22
964,halın,27,24
965,hazır,27,15
966,kimdən,27,15
967,kimidi,27,6
968,kəndin,27,10
969,meyi,27,23
970,müşkünaz,27,1
971,məhv,27,20
972,nağıya,27,4
973,olasan,27,22
974,onları,27,22
975,pis,27,20
976,qanda,27,26
977,qərar,27,25
978,saf,27,24
979,sübhü,27,13
980,səhnəbanı,27,1
981,sərbəsər,27,19
982,səsi,27,18
983,təki,27,24
984,uzaq,27,24
985,uşaq,27,20
986,yolun,27,22
987,yusifi,27,27
988,zəmanə,27,21
989,çoxdur,27,23
990,ürəyim,27,12
991,şahı,27,23
992,еləyib,27,8
993,acı,26,23
994,aman,26,22
995,asan,26,23
996,atdı,26,21
997,bilsin,26,25
998,buldu,26,23
999,bəndi,26,17
1000,cani,26,24
1001,danışma,26,11
1002,dedin,26,11
1003,didar,26,19
1004,dəhr,26,24
1005,dəmbədəm,26,26
1006,dərs,26,24
1007,eyləsin,26,23
1008,feyzi,26,24
1009,giryan,26,24
1010,göydə,26,19
1011,göyçənin,26,9
1012,göyə,26,22
