token,term_frequency,document_frequency
sǝn,37,20
uzun,37,33
viran,37,35
çarə,37,35
çörək,37,18
ələsgərlə,37,14
əsər,37,32
adamlar,36,15
ahü,36,32
azad,36,30
bağrım,36,31
deyə,36,28
deyən,36,33
ehsan,36,32
eyləyən,36,27
fikri,36,35
gecələr,36,26
gedib,36,23
gövhər,36,30
könlümün,36,32
oxudu,36,12
pak,36,29
qoyma,36,32
qönçə,36,34
vaxtı,36,20
vermə,36,28
yada,36,29
yaz,36,26
yolda,36,31
çıxıb,36,30
еylə,36,27
ayaq,35,27
açıldı,35,23
bala,35,18
bağ,35,27
dar,35,31
derlər,35,17
gözlərin,35,29
həmdəm,35,31
nar,35,28
oldur,35,26
qılma,35,34
qərq,35,29
rəngi,35,30
siyah,35,31
sözləri,35,22
süleyman,35,29
uş,35,24
xəyal,35,29
çıxartdı,35,11
üzündə,35,32
ələsgərgil,35,10
allaha,34,22
arasında,34,15
aya,34,26
badi,34,30
bal,34,25
birinə,34,24
budu,34,27
bəzmi,34,29
dərdinə,34,30
dеyir,34,15
eşqi,34,31
görmüşəm,34,18
gözümdən,34,28
hənuz,34,13
kişinin,34,12
lalə,34,32
musa,34,29
oldun,34,25
olmasın,34,19
qoymaz,34,29
qızı,34,11
çü,34,30
özüm,34,25
şam,34,24
əhlinə,34,29
əşi,34,9
arvad,33,13
ağır,33,24
bərabər,33,24
eyləmiş,33,21
gözləri,33,27
hali,33,31
hesab,33,22
kеçdi,33,14
nazik,33,19
nişan,33,26
olmuşdur,33,21
onların,33,22
sirrini,33,30
sərv,33,31
tazə,33,28
verə,33,29
verən,33,27
xeyli,33,28
yarə,33,28
yolu,33,27
çəkmə,33,30
əldən,33,31
əşk,33,31
adlı,32,11
ağlar,32,21
aşikar,32,29
başdan,32,29
bilmirəm,32,22
cahanı,32,27
dağı,32,17
deyiləm,32,16
din,32,29
dərdin,32,27
etməz,32,25
gözdən,32,28
hey,32,20
hörmət,32,25
kimə,32,25
kömək,32,22
lakin,32,22
li,32,30
onlara,32,25
pulu,32,9
qardaş,32,22
qayıtdı,32,11
qaşların,32,26
qıj,32,2
söyün,32,2
sözüm,32,26
vey,32,10
yaradan,32,21
yerdən,32,30
yəni,32,29
yеrə,32,12
zövq,32,26
çərxi,32,29
əlbəttə,32,32
əldə,32,28
əmə,32,4
əql,32,27
adın,31,27
ayağa,31,22
baxdı,31,16
birdən,31,19
bunlar,31,15
dövləti,31,25
dövri,31,26
dərya,31,27
etdin,31,22
gərəkdir,31,19
kor,31,29
külli,31,22
kəm,31,29
kəsildi,31,13
layiq,31,31
lazım,31,22
necin,31,2
olduğun,31,17
qalıb,31,22
qanı,31,29
surət,31,30
tapdı,31,27
xəndan,31,27
yarım,31,28
zövqi,31,29
zərrə,31,24
ən,31,20
ad,30,26
aç,30,29
bilər,30,18
bunca,30,27
bunun,30,22
bəyin,30,12
demə,30,26
dönüb,30,23
dövr,30,26
dərdimə,30,28
edim,30,23
fani,30,24
fəğan,30,29
gedər,30,26
göyçəyə,30,11
gənci,30,26
gərəkməz,30,7
gəz,30,22
həqq,30,23
işim,30,26
kağız,30,10
mümkün,30,25
nərgisi,30,28
oduna,30,28
pərvanə,30,25
qabağına,30,14
qana,30,25
qanlı,30,24
qaşı,30,26
torpağa,30,22
xuda,30,28
yarəb,30,26
yeddi,30,23
ölüm,30,21
üzündən,30,26
şahın,30,17
şər,30,27
еylədi,30,18
asiman,29,22
dalınca,29,12
demək,29,20
dilim,29,26
dünyaya,29,24
guya,29,28
görəsən,29,17
göyçə,29,18
hüsnünə,29,26
köpək,29,8
kəbə,29,20
məclisdə,29,19
oxu,29,18
qoyun,29,19
qədəm,29,28
sayə,29,28
səcdə,29,25
toya,29,8
tən,29,25
varmı,29,11
vəsli,29,20
xəlqə,29,26
yaş,29,25
adım,28,24
aparır,28,8
axı,28,14
açılsın,28,15
aşiqin,28,25
bağlı,28,20
başın,28,25
bilən,28,25
bizdən,28,24
dilər,28,25
dodağın,28,25
eylədin,28,16
görsə,28,25
gözünü,28,22
gülüstan,28,25
gəh,28,16
gəlmədi,28,12
h,28,5
hacı,28,10
hara,28,14
huri,28,24
hərgiz,28,23
hərə,28,17
həsrətindən,28,24
ilǝ,28,20
kimdir,28,24
könlü,28,25
kəsdi,28,22
nǝ,28,22
qalan,28,23
qılmış,28,24
qılıb,28,26
qəmin,28,26
razı,28,17
salmış,28,27
sirr,28,24
sual,28,24
sədəf,28,22
tamaşa,28,19
türfə,28,26
ustad,28,24
yaraşır,28,20
yoldan,28,21
zəhmət,28,23
çak,28,21
çatanda,28,15
ənbər,28,26
еşitdi,28,7
adəm,27,26
birini,27,14
boyun,27,26
bədən,27,21
bəsdir,27,17
dolu,27,24
dosta,27,23
düşəndə,27,21
dəstə,27,14
dеyim,27,15
etmədi,27,18
etməyə,27,22
eşqində,27,23
fəzli,27,22
göndərdi,27,16
güldü,27,22
halın,27,24
hazır,27,15
kimdən,27,15
kimidi,27,6
kəndin,27,10
meyi,27,23
müşkünaz,27,1
məhv,27,20
nağıya,27,4
olasan,27,22
onları,27,22
pis,27,20
qanda,27,26
qərar,27,25
saf,27,24
sübhü,27,13
səhnəbanı,27,1
sərbəsər,27,19
səsi,27,18
təki,27,24
uzaq,27,24
uşaq,27,20
yolun,27,22
yusifi,27,27
zəmanə,27,21
çoxdur,27,23
ürəyim,27,12
şahı,27,23
еləyib,27,8
acı,26,23
aman,26,22
asan,26,23
atdı,26,21
bilsin,26,25
buldu,26,23
bəndi,26,17
cani,26,24
danışma,26,11
dedin,26,11
didar,26,19
dəhr,26,24
dəmbədəm,26,26
dərs,26,24
eyləsin,26,23
feyzi,26,24
giryan,26,24
göydə,26,19
göyçənin,26,9
göyə,26,22
gеcə,26,11
hüsni,26,19
istədi,26,17
kuyində,26,25
könlümə,26,18
mö,26,23
mǝn,26,21
məhi,26,25
nadan,26,26
naz,26,23
oda,26,24
qamu,26,24
qar,26,20
qədəh,26,21
qətrə,26,18
rəva,26,24
saqın,26,18
sinəsinə,26,13
sor,26,18
söylədi,26,22
tüfəng,26,9
tə,26,24
tələb,26,22
xak,26,18
xali,26,25
xоş,26,9
yandan,26,16
zülfünə,26,22
zərrəcə,26,25
çeşmim,26,25
özündən,26,21
ünsüri,26,3
şeytan,26,20
əzəl,26,24
еvə,26,8
ahu,25,19
arzular,25,8
as,25,11
baxma,25,18
canıma,25,21
dala,25,12
der,25,24
dün,25,24
dünyadan,25,21
dən,25,20
dərdimi,25,20
görcək,25,17
gövhəri,25,23
gülü,25,23
gülün,25,16
gəldilər,25,14
hardasan,25,3
hicr,25,24
hüsn,25,24
həqqi,25,24
inci,25,19
mindi,25,12
mütləq,25,23
məclisə,25,15
məhşər,25,21
neçün,25,17
olmaram,25,8
olsan,25,22
olubdu,25,20
olum,25,22
qohum,25,14
qılan,25,21
rəng,25,21
salma,25,18
seyyid,25,23
sərasər,25,23
tapar,25,20
tərlan,25,23
vəslinə,25,22
xəbərin,25,13
xəlqi,25,19
ədalət,25,23
əşki,25,23
afərin,24,20
ata,24,19
atdan,24,9
atı,24,12
ayağı,24,18
baği,24,17
bağrımı,24,22
bildim,24,24
canlar,24,20
cövhəri,24,21
dastan,24,19
dildən,24,24
düşdülər,24,11
dəf,24,20
dəva,24,23
fəhm,24,19
fələyin,24,18
gözə,24,22
güman,24,21
günün,24,15
gətirib,24,19
halə,24,21
hayıf,24,8
hicrin,24,23
isən,24,21
işlər,24,20
könlünü,24,22
kəndində,24,10
malı,24,20
meyl,24,22
mikayıl,24,3
məhəbbət,24,20
natəvan,24,20
ney,24,20
nökər,24,11
növ,24,19
olacaq,24,13
olsaydı,24,15
oxşar,24,17
pay,24,20
peyda,24,16
qabaq,24,19
qaldım,24,23
qarşı,24,18
qiyamət,24,23
quran,24,18
qədrini,24,13
qəlbim,24,19
rast,24,20
ruhi,24,22
seyri,24,21
suyu,24,19
sözə,24,19
tufan,24,19
təbib,24,23
xumar,24,20
xəta,24,19
yari,24,18
çəkir,24,19
öküz,24,9
ömrüm,24,22
ömür,24,19
üzüm,24,19
şux,24,24
şükür,24,19
əlini,24,20
əlinə,24,19
əlvan,24,21
aqil,23,18
aslan,23,19
ağzı,23,20
bihudə,23,22
bivəfa,23,22
bülbüli,23,23
canın,23,20
cüda,23,20
deyər,23,17
durdu,23,15
dеyin,23,3
elm,23,19
evdə,23,16
fərman,23,18
görməmişəm,23,14
gözlərim,23,22
güllər,23,22
günə,23,20
gəda,23,19
hatəm,23,10
hünər,23,18
hеsab,23,12
ilan,23,20
kar,23,21
keç,23,14
köhnə,23,22
kövsər,23,22
kəndə,23,13
manat,23,6
mətləb,23,21
nahaq,23,20
niqab,23,21
nəfəs,23,20
olanda,23,19
oldular,23,20
onunla,23,15
ox,23,19
qanın,23,21
qatar,23,16
qonşu,23,13
quş,23,20
qış,23,20
rəb,23,14
salar,23,19
seyyida,23,23
sizi,23,12
tənə,23,21
ucundan,23,20
vermiş,23,21
vurar,23,18
vurub,23,23
yadına,23,15
yay,23,20
yaşım,23,21
çeşmeyi,23,22
çin,23,21
öylə,23,20
üzə,23,17
şahlar,23,17
əməl,23,23
ər,23,20
ərşi,23,21
əsir,23,21
əta,23,21
еvinə,23,7
ac,22,18
adama,22,11
ali,22,19
anaxanımın,22,3
and,22,15
artar,22,14
atın,22,14
axırda,22,17
ağzını,22,14
barı,22,18
basdı,22,13
baxanda,22,19
bəxş,22,14
bəşirə,22,7
cananə,22,20
cüt,22,12
dad,22,20
dilbərin,22,20
dilərsən,22,12
doludur,22,10
dönə,22,11
dövründə,22,16
düşən,22,21
dəmadəm,22,19
dəyməz,22,12
edərəm,22,16
eyləyir,22,20
eşitdi,22,14
faş,22,20
fəqr,22,18
gizli,22,21
gözlə,22,8
gözəllərin,22,21
güllə,22,8
gəlmişəm,22,17
gəlsə,22,21
gеdib,22,8
halım,22,21
halını,22,20
haradan,22,14
harda,22,17
hikmət,22,19
hüsnü,22,21
həkim,22,14
həmid,22,3
içindəyəm,22,4
içəri,22,7
kuyin,22,22
könlün,22,22
kəndinə,22,12
lap,22,12
m,22,7
mehman,22,16
meydan,22,13
müddət,22,14
müşkül,22,20
mərdi,22,21
məsti,22,15
naleyi,22,20
nara,22,14
nsan,22,16
nəsiminin,22,22
oynar,22,7
qılmaz,22,15
qılsa,22,17
qədr,22,19
rvaham,22,4
salır,22,20
sin,22,13
sinə,22,17
sultanı,22,19
torpağı,22,11
tərəfdən,22,16
vardı,22,18
verməz,22,14
vəsfini,22,18
vəsl,22,20
vətən,22,18
xalın,22,18
xanə,22,12
xələt,22,19
xəyali,22,21
xеyir,22,11
yanağın,22,22
yandırdı,22,20
şaha,22,18
şəfa,22,17
şəhi,22,19
şərh,22,18
əbəd,22,21
əlli,22,14
əsiri,22,21
əsli,22,21
еylər,22,17
ahim,21,21
alim,21,15
andan,21,18
apardı,21,18
aqibət,21,20
ar,21,21
atlı,21,8
aydır,21,18
ağlı,21,16
bari,21,19
baxıb,21,18
bağlama,21,12
bağı,21,18
başladılar,21,10
başım,21,18
bilirsən,21,16
bilirəm,21,17
birin,21,14
birinin,21,14
boş,21,16
c9,21,3
cismi,21,21
derəm,21,8
didarına,21,4
dostun,21,15
doğrudan,21,13
düşərmi,21,5
dəmi,21,19
dеsin,21,7
etdilər,21,14
eyləmək,21,14
fazil,21,5
geri,21,10
haman,21,18
hava,21,18
köynəyinə,21,10
mehri,21,17
meydana,21,15
möhnəti,21,20
məh,21,19
məlum,21,18
n,21,6
nəfər,21,21
nəqşi,21,20
odlu,21,19
olu,21,10
olun,21,9
orda,21,15
qala,21,16
qurbanın,21,6
qəddi,21,19
qəmzə,21,20
rahət,21,20
sevər,21,12
söhbəti,21,15
sözlərin,21,13
sözünə,21,18
sǝnin,21,18
tapıb,21,17
tari,21,18
tutmuş,21,19
tökülür,21,12
təkcə,21,19
vasil,21,19
vay,21,18
verdim,21,21
versə,21,20
vüsalın,21,19
xeyr,21,13
xürrəm,21,19
xızr,21,20
xəm,21,21
yazdı,21,13
yağış,21,12
yeksan,21,12
yetişdi,21,16
yolunu,21,14
yolçu,21,2
zalım,21,16
zinhar,21,19
çatdı,21,15
çıxan,21,19
şan,21,15
şirvan,21,16
şəmi,21,21
şərif,21,4
əhsən,21,19
əksi,21,20
əla,21,19
əmma,21,21
əqli,21,17
əsla,21,18
əyri,21,18
afitab,20,20
amandı,20,8
aradan,20,14
arizi,20,15
ayağın,20,20
ağkilsə,20,9
bayram,20,14
bağladı,20,19
başıma,20,17
behişt,20,14
cahanın,20,15
cövr,20,19
danışdı,20,10
deyəsən,20,15
dilin,20,20
durmuş,20,12
düşman,20,18
dər,20,16
elmi,20,16
evində,20,14
eylərsən,20,10
fikirləşdi,20,10
gerçək,20,11
görün,20,18
görər,20,15
gözünə,20,19
gəzər,20,19
hamısını,20,11
həsən,20,14
həzər,20,18
keçən,20,16
kəlmə,20,16
kəmali,20,17
lin,20,18
lütfü,20,18
ləzzət,20,16
mişkin,20,20
münkir,20,19
müttəsil,20,20
müştaq,20,18
məclisində,20,14
mələklər,20,18
mərdana,20,16
mərifət,20,18
ni,20,18
qardaşı,20,11
qismət,20,18
qorxuram,20,18
qırmızı,20,13
ruh,20,16
səbəbdən,20,20
sərdar,20,10
sərxoş,20,13
tapılmaz,20,12
tay,20,16
tiği,20,16
töküb,20,18
təmə,20,3
vaqifi,20,10
vüsal,20,14
vəh,20,18
vеrir,20,11
xəbərdar,20,20
yaşıl,20,13
yerinə,20,14
yusif,20,19
yеddi,20,10
zamana,20,16
zəhi,20,17
çoxu,20,11
çıxır,20,17
çəkilib,20,17
çəkə,20,12
çəkən,20,18
ömr,20,19
şikar,20,19
əhməd,20,9
ərzi,20,17
adət,19,19
altında,19,17
arizin,19,19
ayrılır,19,4
ağkilsəyə,19,9
ağıl,19,13
aşiqəm,19,10
bar,19,13
bidar,19,18
biçarə,19,18
bulunmaz,19,7
bunların,19,10
bə,19,8
bərgi,19,16
canımız,19,8
cigər,19,18
cəfərqulu,19,1
daği,19,17
dideyi,19,18
divanə,19,14
dolanır,19,13
doldu,19,16
dünən,19,16
dürri,19,19
düşsə,19,17
